               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.095766,            0.021279,             0.01979,             0.18453,             0.22317,              0.2262,            0.065354,            0.057488,             0.01076,           0.0083568,             0.00053,             0.00053,             0.09523
                   1,            0.066459,            0.024031,            0.011381,              0.6732,             0.36846,              0.2083,            0.048272,            0.057761,           0.0086993,           0.0049016,           0.0010695,           0.0010695,             0.09037
                   2,            0.056274,            0.021177,           0.0075669,             0.48904,             0.84132,             0.56513,             0.15605,            0.070783,            0.007743,           0.0025888,           0.0016071,           0.0016071,            0.085507
                   3,             0.05228,            0.018987,           0.0044572,              0.5009,             0.82847,             0.62723,             0.16213,            0.053442,           0.0080478,           0.0018917,           0.0021412,           0.0021412,            0.080641
                   4,            0.047801,            0.016718,           0.0029529,             0.30297,             0.83514,             0.50659,             0.12743,            0.049264,           0.0066379,           0.0016507,           0.0026705,           0.0026705,            0.075771
                   5,            0.043836,            0.013812,           0.0024991,             0.71895,             0.97031,             0.84989,             0.33494,            0.039068,            0.006147,           0.0018524,           0.0031936,           0.0031936,            0.070894
                   6,            0.043891,             0.01628,           0.0025489,             0.83327,             0.66202,             0.86116,             0.27812,            0.045641,            0.008258,           0.0029236,           0.0037089,           0.0037089,            0.066009
                   7,            0.040708,            0.016044,           0.0021198,             0.63506,             0.68911,             0.61763,             0.18814,             0.04422,           0.0062896,           0.0013759,           0.0042151,           0.0042151,            0.061115
                   8,            0.039692,            0.013931,           0.0021013,             0.97455,             0.96864,             0.98371,             0.48049,            0.034619,           0.0058216,           0.0016677,           0.0047108,           0.0047108,            0.056211
                   9,              0.0395,            0.015113,           0.0019022,             0.81967,             0.95481,             0.93654,             0.36298,             0.04217,           0.0060866,           0.0014401,           0.0051948,           0.0051948,            0.051295
                  10,            0.037413,            0.014329,           0.0020531,             0.76495,             0.89589,             0.82415,             0.25742,            0.037659,           0.0054644,           0.0051765,           0.0056657,           0.0056657,            0.046366
                  11,            0.036011,             0.01394,           0.0018668,             0.77891,             0.85712,             0.83193,             0.27554,            0.036434,           0.0056415,          0.00091233,           0.0061224,           0.0061224,            0.041422
                  12,            0.035828,            0.014888,           0.0016486,             0.70545,             0.74095,             0.65122,              0.1454,            0.047841,           0.0059816,          0.00088489,           0.0065635,           0.0065635,            0.036463
                  13,            0.034015,            0.014079,           0.0016474,             0.94072,             0.90423,             0.94145,             0.32104,             0.03637,           0.0059461,           0.0012054,            0.006988,            0.006988,            0.031488
                  14,            0.032542,             0.01276,           0.0016505,             0.97926,             0.96878,             0.96976,             0.45141,            0.033798,           0.0059988,          0.00094986,           0.0073947,           0.0073947,            0.026495
                  15,            0.032269,            0.014328,           0.0013672,             0.54322,             0.65246,             0.49677,             0.12313,            0.044689,            0.006129,          0.00060624,           0.0077827,           0.0077827,            0.021483
